stop,degree,clusterring_coefficient,closeness,betwennesses,page_rank
Bierutowska,4,0.0,0.05498916783484134,0.03930682550393911,0.0011925745687003501
Bierzyce,6,0.0,0.033969691005707535,0.024942301163288754,0.0014023924537202768
Bierzyce - wieś,4,0.0,0.032864922502760956,0.004492279042423819,0.0010552838672811826
Kępa - skrzy.,6,0.0,0.032891226465431814,0.01610818363996857,0.0014869513940700871
Łozina - Milicka/szkoła,4,0.0,0.03511413109818123,0.02712738906417946,0.0008446654212426807
Zaprężyn,4,0.0,0.03184031877213695,0.0022097325916625664,0.0011395958296846892
Biskupice Podgórne Dongseo/Dong Yang,3,0.16666666666666666,0.05063068348489293,0.004920470095537281,0.001296875653046657
Biskupice Podgórne LG Chem Energy I,4,0.16666666666666666,0.05966125129623229,0.00492047009553728,0.0013845081534106642
Biskupice Podgórne LG Electronics,5,0.1111111111111111,0.06262699564586358,0.013931707790596121,0.0009993852605078841
Biskupice Podgórne LG Chem,2,0.0,0.05631321370309951,0.00492047009553728,0.0013504430415101757
Biskupice Podgórne LG Innotek,2,0.0,0.053320976212542476,0.004920470095537281,0.0013214876963947584
Pietrzykowice - zakład,4,0.1,0.06005149258924222,0.005313612523482039,0.0008860370179078247
Blizanowicka,4,0.0,0.04731619058062394,0.0069363602390624625,0.0011177433573133818
Księska,4,0.0,0.04964620606339527,0.009237726271867683,0.0010191340766190359
Starodworska,4,0.0,0.0451903440330942,0.0046296171828161085,0.0012023535615039564
Bociania,4,0.0,0.06397331356560415,0.011807254494506867,0.0008995607774153209
Gęsia,4,0.0,0.06804383820862572,0.013977107495647807,0.0008563829422077721
KOWALE,6,0.0,0.06040879182416352,0.009665854909075351,0.0012776008795267336
Bojanowska,4,0.0,0.03882315893652436,0.0027865895337600413,0.001050820886816808
Marszowicka,4,0.0,0.0378874352445342,0.002168217871735015,0.0010306880617423258
Małomicka,4,0.0,0.03987616671287312,0.004347344201560488,0.0010333349399181374
Borowa - skrz.,8,0.038461538461538464,0.03652137113838341,0.009108789730602163,0.0020873819109259537
Borowa - szkoła,4,0.0,0.035406580782801345,0.0014315652784088317,0.0010732324040086138
Byków - Ogrodowa,4,0.08333333333333333,0.03909753998097223,0.014345741711094324,0.000990100583279911
Stępin,4,0.0,0.03523887300939159,0.002317497103128621,0.00119725903972966
Borowa - stacja kolejowa,4,0.0,0.03437425316657373,0.000816456201007475,0.0010730650278252664
Raków I,4,0.0,0.035332650972364384,0.0021862529226362826,0.00104312975296587
Borowska,11,0.24,0.06918390251723586,0.03780620042693547,0.0019386310840215518
DWORZEC AUTOBUSOWY,18,0.168141592920354,0.07262475805772953,0.055160011283323145,0.0028246032757002007
PETRUSEWICZA,10,0.3488372093023256,0.07122224973178179,0.006126525256961975,0.0017071733198525724
Uniwersytet Ekonomiczny,13,0.125,0.06716475990349444,0.025652123733032127,0.002336779176609269
Wapienna,4,0.1,0.0652305366591081,0.007475937121192489,0.0008744337143012044
