source,target,night_tram,night_bus,d .875
Borowa - stacja kolejowa,Raków I,,2.75,5.5,,2.75,5.5
Borowa - szkoła,Borowa - skrz.,,,2.75,,0.0,2.75
Borowa - szkoła,Borowa - stacja kolejowa,,2.75,5.5,,2.75,5.5
Borowska,DWORZEC AUTOBUSOWY,,98.0,429.625,,98.0,429.625
Borowska,PETRUSEWICZA,,106.125,,,106.125,0.0
Borowska,Uniwersytet Ekonomiczny,,37.0,129.0,,37.0,129.0
Borowska,Wapienna,,38.0,128.5,,38.0,128.5
Borowska,Śliczna,,138.875,433.75,,138.875,433.75
Borowska (Szpital),Działkowa,,54.375,163.875,,54.375,163.875
Borowska (Szpital),GAJ,,3.875,,,3.875,0.0
Borowska (Szpital),Przystankowa,,57.0,164.4375,,57.0,164.4375
Braterska,Przyjaźni,89.0,23.25,,251.75,112.25,251.75
Braterska,Sąsiedzka,92.875,,,249.8125,92.875,249.8125
Brochowska,KSIĘŻE WIELKIE,,59.625,129.3125,,59.625,129.3125
Brochowska,Sosnowiecka,,60.25,129.0,,60.25,129.0
Brodzka,Jędrzejowska,,105.5,252.25,,105.5,252.25
Brodzka,Kozia,,72.375,182.3125,,72.375,182.3125
Brodzka,Królewiecka (Staw),,44.75,156.4375,,44.75,156.4375
Brodzka,Lubelska,,32.625,81.25,,32.625,81.25
Broniewskiego,Bałtycka,,304.5,571.75,,304.5,571.75
Broniewskiego,Kamieńskiego,151.125,233.875,435.0,617.875,385.0,1052.875
Broniewskiego,Pola,,319.5,442.9375,,319.5,442.9375
Broniewskiego,Trzebnicka,141.875,126.25,319.0625,622.5,268.125,941.5625
Broniewskiego,Zakładowa,,24.875,81.25,,24.875,81.25
Brzezia Łąka - Wrocławska,Brzezia Łąka - cmentarz,,5.5,11.875,,5.5,11.875
Brzezia Łąka - Wrocławska,Brzezia Łąka-skrzy.Orzechowa,,5.5,11.875,,5.5,11.875
Brzezia Łąka - cmentarz,Brzezia Łąka - Wrocławska,,5.5,11.875,,5.5,11.875
Brzezia Łąka - cmentarz,Pietrzykowice,,5.5,11.875,,5.5,11.875
Brzezia Łąka - skrzy. Główna,Brzezia Łąka-skrzy.Sportowa,,2.75,10.75,,2.75,10.75
Brzezia Łąka - skrzy. Główna,Kątna,,2.75,10.75,,2.75,10.75
Brzezia Łąka Główna,Brzezia Łąka Główna pętla,,2.75,1.125,,2.75,1.125
