stop,day_degree,day_clusterring_coefficient,day_closeness,day_betwennesses,day_page_rank,day_weighted_degree,stop,night_degree,night_clusterring_coefficient,night_closeness,night_betwennesses,night_page_rank,night_weighted_degree,stop,night_bus_degree,night_bus_clusterring_coefficient,night_bus_closeness,night_bus_betwennesses,night_bus_page_rank,night_bus_weighted_degree,stop,day_tram_degree,day_tram_clusterring_coefficient,day_tram_closeness,day_tram_betwennesses,day_tram_page_rank,day_tram_weighted_degree,stop,day_bus_degree,day_bus_clusterring_coefficient,day_bus_closeness,day_bus_betwennesses,day_bus_page_rank,day_bus_weighted_degree,stop,night_tram_degree,night_tram_clusterring_coefficient,night_tram_closeness,night_tram_betwennesses,night_tram_page_rank,night_tram_weighted_degree
Glinianki,2,0.0,0.059585671724520194,0.1587844324258386,0.0010964697909680798,758.25,Glinianki,2,0.0,0.059585671724520194,0.1587844324258386,0.0012283580849960158,316.5,Glinianki,2,0.0,0.059585671724520194,0.1587844324258386,0.0008950652264374591,63.5,Glinianki,2,0.0,0.059585671724520194,0.1587844324258386,0.003357156044595073,758.25,Glinianki,2,0.0,0.059585671724520194,0.1587844324258386,0.00018441111384312765,,Glinianki,2,0.0,0.059585671724520194,0.1587844324258386,0.0036575735179844916,253.0
Grabowa,2,0.0,0.05535530381050464,0.15580467409859666,0.0014156540920452836,867.0,Grabowa,2,0.0,0.05535530381050464,0.15580467409859666,0.0015019110326133938,333.75,Grabowa,2,0.0,0.05535530381050464,0.15580467409859666,0.001382525388130073,102.75,Grabowa,2,0.0,0.05535530381050464,0.15580467409859666,0.0036370541802489636,769.25,Grabowa,2,0.0,0.05535530381050464,0.15580467409859666,0.0007848142141169003,,Grabowa,2,0.0,0.05535530381050464,0.15580467409859666,0.003566072922983851,231.0
Aleja Pracy,3,0.0,0.07208113318246584,0.018563527221741174,0.001658651211050078,1249.0625,Aleja Pracy,3,0.0,0.07208113318246584,0.018563527221741174,0.0017710120505292984,481.0,Aleja Pracy,3,0.0,0.07208113318246584,0.018563527221741174,0.0017497260636982607,294.125,Aleja Pracy,3,0.0,0.07208113318246584,0.018563527221741174,0.0025883501021907733,,Aleja Pracy,3,0.0,0.07208113318246584,0.018563527221741174,0.001763889946626677,739.5625,Aleja Pracy,3,0.0,0.07208113318246584,0.018563527221741174,0.002856174746405915,
FAT,10,0.07142857142857142,0.07336006141772584,0.07757579740959529,0.003180614573679976,3303.3125,FAT,10,0.07142857142857142,0.07336006141772584,0.07757579740959529,0.0032211305893175965,1131.625,FAT,10,0.07142857142857142,0.07336006141772584,0.07757579740959529,0.0030860696845398075,,FAT,10,0.07142857142857142,0.07336006141772584,0.07757579740959529,0.005840571933073966,,FAT,10,0.07142857142857142,0.07336006141772584,0.07757579740959529,0.0030548938086929836,,FAT,10,0.07142857142857142,0.07336006141772584,0.07757579740959529,0.005753966300944908,
Inżynierska,3,0.3333333333333333,0.07183427998663548,0.0041627156511757114,0.0007856790126550757,397.5,Inżynierska,3,0.3333333333333333,0.07183427998663548,0.0041627156511757114,0.0008237055702158114,154.5,Inżynierska,3,0.3333333333333333,0.07183427998663548,0.0041627156511757114,0.0010598425024283655,154.5,Inżynierska,3,0.3333333333333333,0.07183427998663548,0.0041627156511757114,0.0005533013648100317,,Inżynierska,3,0.3333333333333333,0.07183427998663548,0.0041627156511757114,0.001075581711263958,397.5,Inżynierska,3,0.3333333333333333,0.07183427998663548,0.0041627156511757114,0.00055504162812211,
Ojca Beyzyma,4,0.0,0.07256771580457345,0.019045168875612653,0.0018369591684414912,1111.5625,Ojca Beyzyma,4,0.0,0.07256771580457345,0.019045168875612653,0.0018891004801395378,418.875,Ojca Beyzyma,4,0.0,0.07256771580457345,0.019045168875612653,0.0012169260146305066,,Ojca Beyzyma,4,0.0,0.07256771580457345,0.019045168875612653,0.004233849133268398,,Ojca Beyzyma,4,0.0,0.07256771580457345,0.019045168875612653,0.001194547621197583,,Ojca Beyzyma,4,0.0,0.07256771580457345,0.019045168875612653,0.004344420884237183,
Aleja Wędrowców,2,0.0,0.0676845584763104,0.0046457481657958145,0.0006671458501619731,130.875,Aleja Wędrowców,2,0.0,0.0676845584763104,0.0046457481657958145,0.0007039549321663274,39.125,Aleja Wędrowców,2,0.0,0.0676845584763104,0.0046457481657958145,0.0008138689722049844,39.125,Aleja Wędrowców,2,0.0,0.0676845584763104,0.0046457481657958145,0.0005533013648100314,,Aleja Wędrowców,2,0.0,0.0676845584763104,0.0046457481657958145,0.0008377932606352617,130.875,Aleja Wędrowców,2,0.0,0.0676845584763104,0.0046457481657958145,0.0005550416281221094,
Ślusarska,2,0.0,0.06340780063407801,0.002325581395348837,0.0009504543026332156,130.875,Ślusarska,2,0.0,0.06340780063407801,0.002325581395348837,0.0009788673771407542,39.125,Ślusarska,2,0.0,0.06340780063407801,0.002325581395348837,0.0010662066397383553,39.125,Ślusarska,2,0.0,0.06340780063407801,0.002325581395348837,0.0005533013648100312,,Ślusarska,2,0.0,0.06340780063407801,0.002325581395348837,0.0010921754062194157,130.875,Ślusarska,2,0.0,0.06340780063407801,0.002325581395348837,0.0005550416281221097,
Arabska,2,0.0,0.040987513106472216,0.002325581395348837,0.0011295095432509775,168.0,Arabska,2,0.0,0.040987513106472216,0.002325581395348837,0.001273038552992749,90.125,Arabska,2,0.0,0.040987513106472216,0.002325581395348837,0.0013066513423276008,90.125,Arabska,2,0.0,0.040987513106472216,0.002325581395348837,0.0005533013648100314,,Arabska,2,0.0,0.040987513106472216,0.002325581395348837,0.0011971577392278646,168.0,Arabska,2,0.0,0.040987513106472216,0.002325581395348837,0.0005550416281221097,
BIEŃKOWICE,1,0.0,0.039375486470399707,0.0,0.00063888659863982,81.25,BIEŃKOWICE,1,0.0,0.039375486470399707,0.0,0.0006969475141079225,43.125,BIEŃKOWICE,1,0.0,0.039375486470399707,0.0,0.0007147121426133012,43.125,BIEŃKOWICE,1,0.0,0.039375486470399707,0.0,0.0005533013648100314,,BIEŃKOWICE,1,0.0,0.039375486470399707,0.0,0.0006765462707801769,81.25,BIEŃKOWICE,1,0.0,0.039375486470399707,0.0,0.0005550416281221097,
