stop,lattitude,longitude,zip_code,district,day_weighted_degree
ZAKRZÓW,51.1624766,17.12512042,51-216,Psie Pole,17.1875
KARŁOWICE,51.13425317,17.03714799,51-119,Psie Pole,16.875
Ceglana,51.12108913,17.12084239,51-502,Psie Pole,15.25
Bierutowska 75,51.15575814,17.13998408,51-317,Psie Pole,15.0625
Bierutowska,51.15378722,17.13636151,51-317,Psie Pole,15.0625
BIERUTOWSKA (Wiadukt),51.1581934,17.14654658,50,Psie Pole,15.0625
Mroźna,51.13492443,17.13790104,51-352,Psie Pole,14.9375
Zgorzelisko,51.13837255,17.13131986,51-352,Psie Pole,14.9375
Miłoszycka,51.11694191,17.1262475,51-503,Psie Pole,14.875
KAMIEŃSKIEGO (pętla),51.15069911,17.04307115,51-124,Psie Pole,14.75
Gospodarska,51.11869211,17.12298363,51-503,Psie Pole,14.625
Kowale (Stacja kolejowa),51.13393676,17.10221243,51-424,Psie Pole,13.625
Kowalska 56,51.13647537,17.09740219,51-424,Psie Pole,13.625
Kowalska,51.12901131,17.11362994,51-424,Psie Pole,13.5
Tczewska,51.13146458,17.11117001,51-423,Psie Pole,13.25
Działdowska,51.13315884,17.10579419,51-424,Psie Pole,13.25
Las Osobowicki,51.14781589,16.98421285,51-003,Psie Pole,13.25
Góra Kapliczna,51.15127618,16.99292074,51-003,Psie Pole,13.125
Witkowska,51.14840432,16.98892202,51-003,Psie Pole,13.125
Pracze Widawskie,51.17767648,17.01559687,51-180,Psie Pole,13.0
KŁOKOCZYCE,51.15696053,17.09628151,51-376,Psie Pole,11.625
POŚWIĘCKA (Ośrodek zdrowia),51.15649944,17.03209808,51-128,Psie Pole,10.9375
BIERUTOWSKA (Ośrodek zdrowia),51.151649,17.130748999999998,51-317,Psie Pole,10.5
ŚWINIARY,51.199095,16.974889,51-180,Psie Pole,10.5
RĘDZIN,51.16615031,16.96673588,51-051,Psie Pole,6.8125
ŚLAZOWA,51.15259932,16.99609657,50,Psie Pole,6.5
Volvo - brama II,51.118114,17.111663,51-501,Psie Pole,4.75
Volvo,51.120192,17.114745000000006,51-501,Psie Pole,4.75
Odolanowska,51.16599,17.129552,51-219,Psie Pole,4.1875
Odrodzenia Polski,51.16407293,17.12582132,51-216,Psie Pole,4.0
Pawłowicka,51.16960588,17.11320823,51-250,Psie Pole,3.625
Azaliowa,51.16417141,17.111936399999998,51-253,Psie Pole,3.5
Malwowa,51.16692787,17.10998542,51-250,Psie Pole,2.5
Przebiśniegowa,51.17252073,17.11334336,51-250,Psie Pole,2.5
Starodębowa,51.16738294,17.10593248,51-250,Psie Pole,2.25
Pawłowice,51.16543266,17.10659033,51-250,Psie Pole,2.25
Kowalska I,51.1266857,17.11563506,51-424,Psie Pole,1.375
