stop,lattitude,longitude,zip_code,district,day_weighted_degree
Grochowa,51.09621774,17.00580891,53-430,Fabryczna,37.0625
Ratyń - skrzyżowanie,51.13028539,16.84766226,54-007,Fabryczna,36.8125
Kaczorowskiego,51.12626516,16.87994153,54-530,Fabryczna,35.25
Awicenny (Stacja kolejowa),51.091423,16.950515,54-611,Fabryczna,34.875
Kozanowska,51.13899902,16.96527394,54-142,Fabryczna,34.75
MUCHOBÓR MAŁY (Stacja kolejowa),51.11257866,16.9706042,54-425,Fabryczna,32.375
Śnieżna,51.14968428,16.87935804,54-056,Fabryczna,32.0
Ciechocińska,51.15276400000001,16.884055,54-055,Fabryczna,32.0
PORT LOTNICZY,51.10935597,16.88238906,54-530,Fabryczna,31.25
Awicenny,51.08833411,16.95238558,50-900,Fabryczna,30.25
POCZTA POLSKA,51.08672704,16.94930841,50-900,Fabryczna,30.125
Marszowice,51.16686502,16.89012427,54-078,Fabryczna,28.0
Miodowa,51.13514825,16.84874161,54-007,Fabryczna,27.875
Trzmielowicka,51.14095766,16.85460787,54-007,Fabryczna,27.875
Krępicka,51.1512331,16.85637445,54-018,Fabryczna,27.75
Kolbuszowska (Stadion),51.09402385,16.99728754,53-405,Fabryczna,27.5
METALOWCÓW (Ośrodek sportu),51.12958939,16.95495766,54-156,Fabryczna,26.5
Adamczewskich,51.12084396,16.86953486,54-530,Fabryczna,26.375
Stoszowska,51.15141838,16.91095644,54-060,Fabryczna,25.75
Wojanowska,51.153871,16.89341,54-054,Fabryczna,25.75
Fieldorfa,51.14652868,16.90804212,54-049,Fabryczna,25.75
Arachidowa,51.15451186,16.89774018,54-063,Fabryczna,25.75
Rękodzielnicza,51.13623572,16.96033939,54-139,Fabryczna,25.375
Małopolska (Ośrodek dla niewidomych),51.13745748,16.89888581,54-032,Fabryczna,25.25
Fieldorfa (Szpital),51.144146,16.906701,50,Fabryczna,25.25
Wielkopolska,51.14058794,16.88757032,54-028,Fabryczna,25.25
Złotniki,51.13893653,16.89340008,54-032,Fabryczna,25.25
Eluarda,51.146228,16.86740811,54-072,Fabryczna,25.25
Żernicka (Stacja kolejowa),51.12608329,16.91425947,54-510,Fabryczna,25.25
Olbrachtowska,51.152698,16.904995,54-063,Fabryczna,25.25
Kośnego,51.1207106,16.86401211,54-530,Fabryczna,24.1875
Lubelska,51.16391631,16.91914727,54-101,Fabryczna,23.5
Zbożowa,51.17352979,16.91215216,54-067,Fabryczna,23.5
Osiniecka,51.121863,16.891437,54-530,Fabryczna,23.5
Jerzmanowo (Cmentarz),51.12526194,16.88793033,54-530,Fabryczna,23.5
Morelowskiego,51.06968052,16.96895221,52-437,Fabryczna,22.8125
Adamieckiego,51.07328333,16.96365272,52-400,Fabryczna,22.8125
Jarnołtowska (Samotworska),51.12008386,16.85024756,54-530,Fabryczna,22.0
Krzeptowska,51.12029561,16.85582887,54-530,Fabryczna,22.0
Wolska,51.146661,16.869355,54-076,Fabryczna,21.375
Jordanowska,51.07966649,16.95747724,52-007,Fabryczna,21.375
Bojanowska,51.16512925,16.88135829,54-078,Fabryczna,19.75
Małomicka,51.16669837,16.88756114,54-078,Fabryczna,19.75
Marszowicka,51.16316762,16.87851059,54-701,Fabryczna,19.75
Hartmana,51.159949,16.87715945,54-078,Fabryczna,19.75
Polkowicka,51.15526292,16.87306982,54-078,Fabryczna,19.5
Aleja Wędrowców,51.0879861,16.99188243,53-208,Fabryczna,19.0
Ślusarska,51.0841596,16.9903802,53-205,Fabryczna,19.0
TRZMIELOWICKA (Stacja kolejowa),51.14275073,16.86252125,54-008,Fabryczna,18.75
Szkolna,51.13160819,16.84817259,54-007,Fabryczna,18.5
Pustecka,51.13996335,16.85391538,54-007,Fabryczna,18.25
Dolnobrzeska,51.15501757,16.85941441,54-020,Fabryczna,16.9375
Mokra,51.17146013,16.83774388,54-074,Fabryczna,16.9375
Mokrzańska,51.14920934,16.85466784,54-016,Fabryczna,15.1875
Zajazdowa,51.14809482,16.86536551,54-018,Fabryczna,14.0
Krępicka - szkoła,51.15001334,16.86044907,54-018,Fabryczna,13.75
Gromadzka,51.12924425,16.85387079,54-007,Fabryczna,13.25
Turoszowska,51.15305206,16.94763156,54-106,Fabryczna,12.75
Grzybowa,51.15895,16.853214,54-020,Fabryczna,11.375
Owczarska,51.15171395,16.86468371,54-072,Fabryczna,11.3125
Brzezińska,51.14965084,16.86671724,54-000,Fabryczna,11.3125
ŻAR,51.150195,16.833785,54-010,Fabryczna,10.9375
