stop,lattitude,longitude,zip_code,district,day_weighted_degree
KSIĘŻE MAŁE,51.07727819,17.0840056,52-010,Krzyki,82.125
Konduktorska,51.065565,17.055056,52-131,Krzyki,79.125
Zimowa,51.07064583,16.99875648,53-020,Krzyki,77.8125
WAŁBRZYSKA,51.06323004,16.97676339,52-326,Krzyki,77.8125
Skarbowców,51.06699853,16.99127638,53-030,Krzyki,77.8125
Os. Przyjaźni,51.06922281,16.99666027,53-019,Krzyki,77.8125
rondo Św. Ojca Pio,51.05953185,17.00626127,52-007,Krzyki,76.75
Wyścigowa,51.06970634,17.01205044,53-006,Krzyki,74.625
Sąsiedzka,51.06674373,16.99465411,53-030,Krzyki,70.75
Radio i Telewizja,51.07185782,17.00601881,53-015,Krzyki,70.75
GAJ - pętla,51.07712309,17.04959717,50-539,Krzyki,70.75
Braterska,51.06761646,16.999554,53-030,Krzyki,70.75
Modlińska,51.0816957,17.000632,53-146,Krzyki,69.75
Głubczycka,51.08015955,17.08001001,52-010,Krzyki,69.0
pl. Zgody,51.10060371,17.05331733,50-438,Krzyki,69.0
Armii Krajowej,51.08783364,17.06830653,50-438,Krzyki,69.0
Nyska,51.08299211,17.0546832,50-541,Krzyki,68.0
Kościuszki,51.1001978,17.04528826,50-445,Krzyki,65.5
Komuny Paryskiej,51.10172598,17.04611604,50-451,Krzyki,64.0
Drukarska,51.08977428,17.02139075,53-312,Krzyki,59.5625
Jagodzińska,51.05871295,17.05649988,52-129,Krzyki,58.3125
Vivaldiego,51.04942078,17.05944212,52-131,Krzyki,58.3125
Malinowskiego,51.062347,17.055188,52-131,Krzyki,58.3125
Kajdasza,51.053804,17.058020000000006,52-129,Krzyki,57.75
Złotostocka,51.07714643,17.06030348,50-513,Krzyki,57.125
Marchewkowa,51.06643762,16.97413031,52-437,Krzyki,56.125
Wapienna,51.086867,17.042927,50-545,Krzyki,55.6875
Gazowa,51.07828273,17.06885171,50-513,Krzyki,54.3125
PARK POŁUDNIOWY,51.07262005,17.01074356,53-141,Krzyki,53.0
Pl. Hirszfelda,51.09382147,17.01795905,53-340,Krzyki,52.8125
Topolowa,51.06946513,17.08041925,52-110,Krzyki,51.5
Wiaduktowa,51.07521305,17.07640349,52-110,Krzyki,50.5
BROCHÓW (Stacja kolejowa),51.06360482,17.08374373,52-110,Krzyki,50.5
Świstackiego,51.09900544,17.05013442,50-433,Krzyki,48.9375
BROCHÓW,51.058964,17.086479,52-118,Krzyki,48.375
Racławicka (szkoła),51.08468135,17.00695047,53-148,Krzyki,46.25
Sowia,51.07379262,17.00184494,53-024,Krzyki,45.25
Orzechowa,51.08295665,17.04180447,50-541,Krzyki,45.0
Chłodna,51.07498635,16.99683129,53-000,Krzyki,44.75
Wawrzyniaka,51.07658637,16.9968549,53-025,Krzyki,44.75
Ołtaszyn,51.05680038,17.02227718,52-210,Krzyki,44.0
Parafialna,51.06315728,17.03224845,52-218,Krzyki,43.625
Wojszyce,51.06539714,17.03222542,52-218,Krzyki,43.5
Borowska (Szpital),51.07472533,17.03254813,50-551,Krzyki,43.5
Przystankowa,51.07152509,17.03257553,50-558,Krzyki,42.75
Ożynowa,51.06439698,17.00945618,53-010,Krzyki,42.5
Malinowa,51.06671774,17.01055621,53-010,Krzyki,42.375
Komandorska,51.09216009,17.0245164,53-341,Krzyki,41.25
Partynice,51.06154956,16.99764462,53-015,Krzyki,37.25
Zagłębiowska,51.07275516,17.08914075,52-013,Krzyki,37.125
Brochowska,51.06901248,17.09480413,52-014,Krzyki,37.125
Widna,51.08626997,17.04487696,50-547,Krzyki,37.125
Sosnowiecka,51.07045986,17.09154329,52-010,Krzyki,37.125
Park Brochowski,51.0627158,17.07586716,52-100,Krzyki,33.1875
ROD Zgoda,51.06605814,17.05995315,52-130,Krzyki,32.625
Gwiaździsta,51.09955037,17.02628856,53-332,Krzyki,32.0
Zielińskiego,51.098522,17.02050515,53-531,Krzyki,31.8125
Jarzębinowa,51.08129657,17.01656596,53-134,Krzyki,31.8125
Komuny Paryskiej (szkoła),51.10257931,17.04464708,50-400,Krzyki,31.625
Skierniewicka,51.07765014,17.0144646,52-007,Krzyki,31.5
SPISKA (Ośrodek sportu),51.08314553,17.03110581,53-126,Krzyki,27.75
Arena,51.09502826,17.02726149,53-342,Krzyki,27.5
Oboźna,51.05829838,17.03259791,52-244,Krzyki,25.0
Gałczyńskiego,51.05428456,17.03224953,52-232,Krzyki,24.875
Husarska,51.06012872,17.00209835,53-033,Krzyki,24.875
Strachowskiego,51.0582375,17.01565182,52-210,Krzyki,24.75
Kurpiów,51.05488165,17.02661079,52-214,Krzyki,24.75
Grota-Roweckiego,51.05064201,17.03040244,52-214,Krzyki,24.75
Arabska,51.05115765,17.092325600000002,55-010,Krzyki,23.5
Ziemniaczana,51.05405004,17.09230422,52-110,Krzyki,23.5
ROD Mieczyk,51.06388949,17.07249222,52-114,Krzyki,22.5
Słoneczna,51.05882671,16.97377967,52-326,Krzyki,22.25
Marcepanowa,51.06175789,16.9758113,52-317,Krzyki,22.25
Tunelowa,51.06487773,17.06548395,52-130,Krzyki,21.9375
Semaforowa,51.06170301,17.07956093,52-114,Krzyki,21.375
Armii Krajowej (Bogedaina),51.08534694,17.06528881,53-126,Krzyki,21.0625
PETRUSEWICZA,51.092306,17.030741,53-302,Krzyki,19.0
Kutrzeby,51.05183322,17.01882927,52-213,Krzyki,18.625
Świt,51.06047976,17.02571856,52-223,Krzyki,18.625
KSIĘŻE WIELKIE,51.06983317,17.09753488,52-014,Krzyki,18.5625
ROD Storczyk,51.04775363,17.0159136,52-200,Krzyki,18.0
Zajezdnia BOREK,51.07862472,17.00699043,51,Krzyki,17.0
ZWYCIĘSKA,51.05943,17.01098,53-033,Krzyki,16.5
Wojszycka,51.06771887,17.0143228,53-006,Krzyki,16.25
Połabian,51.05623724,16.97047495,52-340,Krzyki,12.875
BIEŃKOWICE,51.04770885,17.09101956,52-127,Krzyki,11.375
Zajezdnia GAJ,51.08926588,17.02968036,50-545,Krzyki,10.5
Księska,51.07639388,17.09019786,52-020,Krzyki,10.5
Starodworska,51.07381,17.108553,54,Krzyki,10.5
Blizanowicka,51.07588443,17.09276207,52-020,Krzyki,10.5
Opatowicka nr 85,51.09515536,17.12302758,52-028,Krzyki,9.625
Międzyrzecka,51.09436249,17.08236018,50-422,Krzyki,9.625
Nowy Dom,51.09340204,17.10706553,52-028,Krzyki,9.625
Bierdzany,51.09171676,17.09261703,50-421,Krzyki,9.625
Rakowiecka,51.09710379,17.06767258,50-438,Krzyki,9.625
Opatowicka nr 59,51.0950859,17.115921,52-028,Krzyki,9.625
OPATOWICE,51.09483363,17.1292184,52-028,Krzyki,7.875
Opatowicka nr 127,51.09192757,17.13303338,52-028,Krzyki,6.125
Zalewowa,51.09080892,17.13457316,52-029,Krzyki,6.125
KLECINA (Stacja kolejowa),51.05816,16.987910999999997,52-315,Krzyki,5.125
Pułaskiego,51.09819425,17.04302503,50-084,Krzyki,1.25
Na Grobli,51.10147358,17.06736263,50-422,Krzyki,0.75
