stop,day_tram_degree,day_tram_clusterring_coefficient,day_tram_closeness,day_tram_betwennesses,day_tram_page_rank,day_tram_weighted_degree,stop,night_tram_degree,night_tram_clusterring_coefficient,night_tram_closeness,night_tram_betwennesses,night_tram_page_rank,night_tram_weighted_degree,stop,night_bus_degree,night_bus_clusterring_coefficient,night_bus_closeness,night_bus_betwennesses,night_bus_page_rank,night_bus_weighted_degree,stop,night_degree,night_clusterring_coefficient,night_closeness,night_betwennesses,night_page_rank,night_weighted_degree,index,day_degree,day_clusterring_coefficient,day_closeness,day_betwennesses,day_page_rank,day_weighted_degree,stop,day_bus_degree,day_bus_clusterring_coefficient,day_bus_closeness,day_bus_betwennesses,day_bus_page_rank,day_bus_weighted_degree
Renoma,3.0,0.17033815901195712,0.11321989528795812,0.31052560828068293,0.004295804411291101,142.75,,,,,,,,Grabowa,2.0,0.0,0.04973878972572921,0.07583784406311184,0.002801806669559898,10.5,Grabowa,2.0,0.0,0.04973878972572921,0.07583784406311184,0.002801806669559898,10.5,Aleja Architektów,2,0.0,0.05688583145918772,0.0025205078918157943,0.0011823115792770134,103.0,FAT,8.0,0.011184712130033744,0.06957872928176796,0.23090331828059737,0.0029911499173445413,212.9375
Zaolziańska,2.0,0.0,0.10236686390532544,0.14565129721736794,0.00612796503882578,214.25,,,,,,,,Aleja Pracy,3.0,0.0,0.07273595416202451,0.19896637106990672,0.0028565278078919155,12.5,Aleja Pracy,3.0,0.0,0.07273595416202451,0.19896637106990672,0.0028565278078919155,12.5,Glinianki,2,0.0,0.059249052704099206,0.0039770419904161134,0.0011155881881043399,103.0,Inżynierska,3.0,0.034373417676107354,0.0680226179424424,0.0009678960590601543,0.0010593643122586045,52.875
pl. Legionów,3.0,0.0,0.10977157360406091,0.1451135905363624,0.005336704333466009,164.375,,,,,,,,FAT,6.0,0.004010591463836576,0.0729915348985785,0.2756823678452148,0.00544225487729108,25.875,FAT,6.0,0.004010591463836576,0.0729915348985785,0.2756823678452148,0.00544225487729108,25.875,Grabowa,2,0.0,0.054839943884708586,0.0011939247908601131,0.0014104019948564996,115.625,Ojca Beyzyma,3.0,0.0,0.06838622094009843,0.007450333677542653,0.0011861852277956157,46.5
Armii Krajowej,2.0,0.0,0.07528285465622281,0.04543621454496572,0.005813145409465439,69.0,,,,,,,,Inżynierska,2.0,0.0,0.07262037184172891,0.004016468962340205,0.0017485172962667962,6.5,Inżynierska,2.0,0.0,0.07262037184172891,0.004016468962340205,0.0017485172962667962,6.5,Aleja Pracy,3,0.0,0.07111552137600265,0.011451931667433737,0.0017632717364041161,171.6875,Aleja Wędrowców,2.0,0.0,0.0640343211249702,0.004956614213276205,0.0008676136345056324,19.0
KRAKOWSKA (Centrum handlowe),2.0,0.0,0.08106841611996252,0.05645920150557871,0.00567188552256869,69.0,,,,,,,,Ojca Beyzyma,2.0,0.0,0.07319026265214607,0.19275691965142616,0.001638543797768738,6.25,Ojca Beyzyma,2.0,0.0,0.07319026265214607,0.19275691965142616,0.001638543797768738,6.25,FAT,10,0.012376099138090697,0.07293698583665507,0.42300809486422825,0.0032357244521791675,449.0625,Ślusarska,2.0,0.0,0.06019417475728155,0.0024813895781637717,0.0011152677320844396,19.0
Park Wschodni,2.0,0.0,0.07021103896103896,0.03427880091410136,0.005977706110250599,69.0,,,,,,,,Arabska,2.0,0.0,0.03692929292929293,0.004376367614879651,0.002344732081627949,4.0,Arabska,2.0,0.0,0.03692929292929293,0.004376367614879651,0.002344732081627949,4.0,Inżynierska,3,0.023142168075615876,0.07119205298013245,0.007328694804667406,0.0007890033287620119,52.875,Arabska,2.0,0.0,0.038051175526390334,0.0024813895781637717,0.0012149715244936384,23.5
BISKUPIN,1.0,0.0,0.058803535010197146,0.0,0.0037089106636478226,68.5,,,,,,,,BIEŃKOWICE,1.0,0.0,0.035616865404099446,0.0,0.0013240220517224447,2.0,BIEŃKOWICE,1.0,0.0,0.035616865404099446,0.0,0.0013240220517224447,2.0,Ojca Beyzyma,4,0.0,0.07160699417152373,0.00928066708178791,0.0016616398068943757,122.25,BIEŃKOWICE,1.0,0.0,0.03665802519670715,0.0,0.000685756836903184,11.375
Spółdzielcza,2.0,0.0,0.062454873646209386,0.011560693641618498,0.006698451054424894,137.0,,,,,,,,Ziemniaczana,2.0,0.0,0.038335710091435285,0.008733540634957196,0.0020983586367842423,4.0,Ziemniaczana,2.0,0.0,0.038335710091435285,0.008733540634957196,0.0020983586367842423,4.0,Aleja Wędrowców,2,0.0,0.06684803731053245,0.0046457481657958145,0.000697371737103471,19.0,Ziemniaczana,2.0,0.0,0.03955051768977869,0.004956614213276205,0.0010174222698539688,23.5
Bajana,2.0,0.0,0.06402664692820133,0.12985616346283102,0.006187057544012592,167.75,,,,,,,,Arachidowa,2.0,0.0,0.038702574525745256,0.017198356942684942,0.002162523029374872,4.5,Arachidowa,2.0,0.0,0.038702574525745256,0.017198356942684942,0.002162523029374872,4.5,Ślusarska,2,0.0,0.06267307972598747,0.002325581395348837,0.0009680342144762704,19.0,Arachidowa,2.0,0.0,0.039074998787996314,0.002259451628315583,0.0011114730127392532,25.75
Metalowców,2.0,0.0,0.060659186535764374,0.1197741631939777,0.006522625729722314,167.75,,,,,,,,Olbrachtowska,2.0,0.0,0.04019702700325446,0.021411570501746708,0.0019345836492048387,4.0,Olbrachtowska,2.0,0.0,0.04019702700325446,0.021411570501746708,0.0019345836492048387,4.0,Arabska,2,0.0,0.04060434372049103,0.002325581395348837,0.0011351744311748507,23.5,Olbrachtowska,2.0,0.0,0.03784570596797671,0.004158254088127861,0.0011760714322929268,25.25
