source,target,night_bus,day_bus,day_tram,night_tram,night,day
Biskupice Podgórne LG Electronics,Biskupice Podgórne LG Chem Energy I,,2.0,,,,2.0
Biskupice Podgórne LG Electronics,Partynice,,1.6666666666666667,,,,1.6666666666666667
Biskupice Podgórne LG Electronics,Pietrzykowice - zakład,,0.7777777777777778,,,,0.7777777777777778
Biskupice Podgórne LG Innotek,Biskupice Podgórne Dongseo/Dong Yang,,3.888888888888889,,,,3.888888888888889
Blizanowicka,Księska,,4.666666666666667,,,,4.666666666666667
Blizanowicka,Starodworska,,4.666666666666667,,,,4.666666666666667
Bociania,Gęsia,,,19.444444444444443,,,19.444444444444443
Bociania,KOWALE,,,19.444444444444443,,,19.444444444444443
Bojanowska,Marszowicka,,8.88888888888889,,,,8.88888888888889
Bojanowska,Małomicka,,8.666666666666666,,,,8.666666666666666
Borowa - skrz.,Borowa - skrz.,,0.6666666666666666,,,,0.6666666666666666
Borowa - skrz.,Borowa - szkoła,,0.5555555555555556,,,,0.5555555555555556
Borowa - skrz.,Byków - Ogrodowa,,0.1111111111111111,,,,0.1111111111111111
Borowa - skrz.,Stępin,,0.5555555555555556,,,,0.5555555555555556
Borowa - stacja kolejowa,Borowa - szkoła,,0.2222222222222222,,,,0.2222222222222222
Borowa - stacja kolejowa,Raków I,,0.5555555555555556,,,,0.5555555555555556
Borowa - szkoła,Borowa - skrz.,,0.2222222222222222,,,,0.2222222222222222
Borowa - szkoła,Borowa - stacja kolejowa,,0.5555555555555556,,,,0.5555555555555556
Borowska,DWORZEC AUTOBUSOWY,1.0,50.666666666666664,,,1.0,50.666666666666664
Borowska,PETRUSEWICZA,18.666666666666668,,,,18.666666666666668,
Borowska,Uniwersytet Ekonomiczny,,16.5,,,,16.5
Borowska,Wapienna,,16.5,,,,16.5
Borowska,Śliczna,6.0,52.0,,,6.0,52.0
Borowska (Szpital),Działkowa,4.333333333333333,19.0,,,4.333333333333333,19.0
Borowska (Szpital),GAJ,0.6666666666666666,,,,0.6666666666666666,
Borowska (Szpital),Przystankowa,3.3333333333333335,19.666666666666668,,,3.3333333333333335,19.666666666666668
Braterska,Przyjaźni,4.0,,31.444444444444443,,4.0,31.444444444444443
Braterska,Sąsiedzka,,,31.444444444444443,,,31.444444444444443
Brochowska,KSIĘŻE WIELKIE,4.0,16.5,,,4.0,16.5
Brochowska,Sosnowiecka,4.0,16.5,,,4.0,16.5
Brodzka,Jędrzejowska,3.3333333333333335,31.055555555555557,,,3.3333333333333335,31.055555555555557
Brodzka,Kozia,4.0,21.61111111111111,,,4.0,21.61111111111111
Brodzka,Królewiecka (Staw),,19.11111111111111,,,,19.11111111111111
Brodzka,Lubelska,,10.444444444444445,,,,10.444444444444445
Broniewskiego,Bałtycka,15.166666666666666,71.16666666666667,,,15.166666666666666,71.16666666666667
Broniewskiego,Kamieńskiego,8.0,55.666666666666664,31.38888888888889,,8.0,87.05555555555556
Broniewskiego,Pola,2.3333333333333335,61.72222222222222,,,2.3333333333333335,61.72222222222222
Broniewskiego,Trzebnicka,5.333333333333333,39.833333333333336,30.61111111111111,,5.333333333333333,70.44444444444444
Broniewskiego,Zakładowa,,10.0,,,,10.0
Brzezia Łąka - Wrocławska,Brzezia Łąka - cmentarz,,1.4444444444444444,,,,1.4444444444444444
Brzezia Łąka - Wrocławska,Brzezia Łąka-skrzy.Orzechowa,,1.4444444444444444,,,,1.4444444444444444
Brzezia Łąka - cmentarz,Brzezia Łąka - Wrocławska,,1.4444444444444444,,,,1.4444444444444444
Brzezia Łąka - cmentarz,Pietrzykowice,,1.4444444444444444,,,,1.4444444444444444
Brzezia Łąka - skrzy. Główna,Brzezia Łąka-skrzy.Sportowa,,1.1111111111111112,,,,1.1111111111111112
Brzezia Łąka - skrzy. Główna,Kątna,,1.1111111111111112,,,,1.1111111111111112
Brzezia Łąka Główna,Brzezia Łąka Główna pętla,,0.3333333333333333,,,,0.3333333333333333
Brzezia Łąka Główna,Brzezia Łąka-skrzy.Sportowa,,0.3333333333333333,,,,0.3333333333333333
Brzezia Łąka Główna pętla,Brzezia Łąka Główna,,0.3333333333333333,,,,0.3333333333333333
Brzezia Łąka-skrzy.Orzechowa,Brzezia Łąka - skrzy. Główna,,1.1111111111111112,,,,1.1111111111111112
Brzezia Łąka-skrzy.Orzechowa,Brzezia Łąka Główna,,0.3333333333333333,,,,0.3333333333333333
Brzezia Łąka-skrzy.Sportowa,Brzezia Łąka - Wrocławska,,1.4444444444444444,,,,1.4444444444444444
Brzezina - Kościół,BRZEZINA (pętla),,3.6666666666666665,,,,3.6666666666666665
Brzezina - Kościół,Brzezina - ul. Chrobrego,,0.7777777777777778,,,,0.7777777777777778
Brzezina - Kościół,Brzezinka Średzka - ul. Główna,,3.0,,,,3.0
Brzezina - Osiedle,Brzezina - ul. Chrobrego,,0.7777777777777778,,,,0.7777777777777778
Brzezina - Osiedle,Las Mokrzański,,0.7777777777777778,,,,0.7777777777777778
Brzezina - ul. Chrobrego,Brzezina - Kościół,,0.7777777777777778,,,,0.7777777777777778
Brzezina - ul. Chrobrego,Brzezina - Osiedle,,0.7777777777777778,,,,0.7777777777777778
Brzezinka Średzka - PKP,Brzezinka Średzka - ul. Główna,,0.7777777777777778,,,,0.7777777777777778
Brzezinka Średzka - PKP,Gosławice - przejazd PKP,,0.5555555555555556,,,,0.5555555555555556
Brzezinka Średzka - ul. Główna,Brzezina - Kościół,,2.888888888888889,,,,2.888888888888889
Brzezinka Średzka - ul. Główna,Brzezinka Średzka - ul. Parkowa,,0.7777777777777778,,,,0.7777777777777778
Brzezinka Średzka - ul. Główna,Pisarzowice - Kolejowa,,2.2222222222222223,,,,2.2222222222222223
Brzezinka Średzka - ul. Parkowa,Brzezinka Średzka - PKP,,1.3333333333333333,,,,1.3333333333333333
Brzezińska,Eluarda,,5.055555555555555,,,,5.055555555555555
Brzezińska,Owczarska,,5.0,,,,5.0
Brücknera,C.H. Korona,6.666666666666667,62.94444444444444,,,6.666666666666667,62.94444444444444
Brücknera,Grudziądzka,10.0,45.44444444444444,,,10.0,45.44444444444444
Brücknera,Kwidzyńska,4.666666666666667,56.166666666666664,,,4.666666666666667,56.166666666666664
Brücknera,Olsztyńska,4.0,6.055555555555555,,,4.0,6.055555555555555
Brücknera,Psie Pole,,32.833333333333336,,,,32.833333333333336
Budziwojowice,Łosice - plac zabaw,,1.6666666666666667,,,,1.6666666666666667
Budziwojowice,Łozina Cmentarz,,0.8888888888888888,,,,0.8888888888888888
Buforowa-Rondo,BARDZKA (Cmentarz),3.3333333333333335,35.166666666666664,,,3.3333333333333335,35.166666666666664
Buforowa-Rondo,Konduktorska,3.3333333333333335,26.166666666666668,,,3.3333333333333335,26.166666666666668
