stop,lattitude,longitude
Rękodzielnicza,51.13623572,16.96033939
Morwowa,51.07654639,17.05317017
Strachowicka,51.12351475,16.91906988
Mokrzańska,51.14920934,16.85466784
Krępicka,51.1512331,16.85637445
Zajazdowa,51.14809482,16.86536551
Gwiaździsta,51.09955037,17.02628856
Żerniki,51.12363311,16.92295119
MIŃSKA (Rondo Rotm. Pileckiego),51.10530939,16.94892826
Bierutowska 75,51.15575814,17.13998408
Szczecińska,51.12245085,16.93099623
Szczepin,51.11763769,17.00648374
Bagatela,51.15276265,17.06938922
Połabian,51.05623724,16.97047495
BIEŃKOWICE,51.04770885,17.09101956
Przedwiośnie (Stacja kolejowa),51.16042707,17.12241711
Kołobrzeska,51.12103055,16.94541342
Wielkopolska,51.14058794,16.88757032
Złotniki,51.13893653,16.89340008
Ożynowa,51.06439698,17.00945618
Tunelowa,51.06487773,17.06548395
Park Brochowski,51.0627158,17.07586716
Wojszycka,51.06771887,17.0143228
Kochanowskiego,51.115018,17.073334
POCZTA POLSKA,51.08672704,16.94930841
Hartmana,51.159949,16.87715945
OSIEDLE SOBIESKIEGO,51.15902626,17.1324327
Aleja Wędrowców,51.0879861,16.99188243
Hermanowska,51.122238,16.955623
Adamieckiego,51.07328333,16.96365272
Solskiego,51.08179036,16.96866979
Opatowicka nr 127,51.09192757,17.13303338
Bystrzycka,51.12405663,16.95807128
BARDZKA (Cmentarz),51.07326554,17.05329449
Hynka,51.12246208,16.96215449
PARK POŁUDNIOWY,51.07262005,17.01074356
Szewczenki,51.14178408,17.12546921
Gąsiorowskiego,51.14385496,17.03975428
Drzewieckiego,51.12158052,16.96790892
Suwalska,51.15177226,16.9271541
Wojszyce,51.06539714,17.03222542
Parafialna,51.06315728,17.03224845
Las Mokrzański,51.17590617,16.83354894
Świeradowska,51.07715188,17.04626183
Orlińskiego,51.12212052,16.97192044
Bierzyce - wieś,51.23840362,17.1848725
Wejherowska,51.12945152,16.98664037
Pruszowice - las,51.18331166,17.14492989
Kiełczówek - pętla,51.11899673,17.18627475
Kiełczówek,51.11944868,17.17899828
Kowalska I,51.1266857,17.11563506
Krajobrazowa,51.12898034,16.83964368
Rysia,51.12791017,16.99059109
Lipska,51.14507171,16.98734081
Kiełczów - Rzeczna,51.12985947,17.17475177
Popowice,51.12604304,16.99669307
Obornicka (Obwodnica),51.15794943,17.00999289
Poświęcka,51.1565148,17.03409307
Pawłowice,51.16543266,17.10659033
Starodębowa,51.16738294,17.10593248
Brzezina - Osiedle,51.19216313,16.83345583
Grawerska,51.1766014,17.0181999
Samotwór - Dębowa,51.106477,16.835948
Wita Stwosza,51.11073822,17.03497352
Przybyszewskiego,51.14011673,17.06296696
Wilczyce - Dębowa,51.13032692,17.16282358
Brzezia Łąka - cmentarz,51.12272092,17.23919941
Oleśniczka,51.14661219,17.2806309
ROD Tysiąclecia,51.11161607,16.95219543
Rogowska,51.11037655,16.95594481
ROD Oświata,51.10097911,16.97279839
ROD Storczyk,51.04775363,17.0159136
Komandorska,51.09216009,17.0245164
Długa,51.11908357,17.01528336
KRAKOWSKA (Centrum handlowe),51.09003448,17.06483268
Zakrzowska,51.15203011,17.11656448
Wallenroda,51.15496665,17.11912776
ROD Pod Dębem,51.15370502,17.10444537
Dobroszycka,51.15145539,17.1282492
Wilczyce,51.13302091,17.14288258
Wielka,51.09422402,17.02153104
ROD Bajki,51.08389472,17.03529441
ROD Zgoda,51.06605814,17.05995315
ROD Źródło Zdrowia,51.15068559,17.10857941
ROD Mieczyk,51.06388949,17.07249222
Głogowska,51.11742624,17.00353097
Tokary - osiedle,51.23085629,17.13505302
GAJ - pętla,51.07712309,17.04959717
WAŁBRZYSKA,51.06323004,16.97676339
ŚWIDNICKA (Dom Europy),51.10681212,17.03341338
Inowrocławska,51.11543774,17.01528869
PILCZYCKA (Anima),51.13509602,16.96913353
Borowska,51.08806677,17.0364739
Śrubowa,51.11128156,17.00302028
JARNOŁTÓW,51.12141764,16.8439344
LITOMSKA (ZUS),51.11990865,17.01013739
Szkoła Żerniki,51.12140135,16.92506799
Zajezdnia BOREK,51.07862472,17.00699043
Zajezdnia OŁBIN,51.12383941,17.04104391
Zajezdnia GAJ,51.08926588,17.02968036
PSIE POLE (Stacja kolejowa),51.1505801,17.12055034
Nowy Dwór,51.11258728,16.95992956
Rdestowa,51.11127477,16.88805773
GAJ,51.07690057,17.04193165
Arabska,51.05115765,17.0923256
Głubczycka,51.08015955,17.08001001
Ziemniaczana,51.05405004,17.09230422
SĘPOLNO,51.11428512,17.10389412
STADION WROCŁAW (Królewiecka),51.14356746,16.94996015
Zemska,51.11539031,16.94736664
Stadion Wrocław (Lotnicza),51.13738147,16.94032898
Chociebuska,51.11467304,16.95805983
Grudziądzka,51.13794927,17.07506203
Nowy Dwór (Rogowska),51.11862311,16.95486963
Kozanowska,51.13899902,16.96527394
Zagłoby,51.1095419,16.93024823
Wysoka,51.04608202,17.01297401
Park Tysiąclecia,51.10873561,16.9432753
Inflancka,51.14235835,17.13041532
pl. Strzegomski (Muzeum Współczesne),51.11323868,17.00788625
Tyrmanda,51.10310017,16.94554415
Pułtuska,51.0745575,17.01644371
Góra Kapliczna,51.15127618,16.99292074
Krzemieniecka,51.0963781,16.95695002
Park Staromiejski,51.10512525,17.03689849
KSIĘŻE WIELKIE,51.06983317,17.09753488
Wojnów,51.09712203,17.16404547
WOJNÓW (pętla),51.09590148,17.16596794
Olsztyńska,51.13938597,17.0951032
Końcowa,51.09582149,16.96245172
Psie Pole (Gorlicka),51.14583876,17.11371681
Graniczna (Strachowicka),51.1108012,16.89857603
Kiełczowska (Cmentarz),51.14534175,17.14802053
most Milenijny,51.13651152,16.99927273
Kamieńskiego (Szpital),51.148294,17.042744
MUCHOBÓR MAŁY (Stacja kolejowa),51.11257866,16.9706042
PAWŁOWICE (Widawska),51.17341597,17.11642167
Żernicka (Stacja kolejowa),51.12608329,16.91425947
Arkady (Capitol),51.1020902,17.02946781
pl. Nowy Targ,51.11038706,17.03915952
Psie Pole,51.145827,17.111563
Żernicka,51.125577,16.912368
Pisarzowice - Szkolna,51.2097013,16.8511683
Pisarzowice - Kolejowa,51.2137413,16.8474439
Jordanowska,51.07966649,16.95747724
Ratyń - skrzyżowanie,51.13028539,16.84766226
Orzechowa,51.08295665,17.04180447
Ślusarska,51.0841596,16.9903802
RĘDZIN,51.16615031,16.96673588
Pawłowicka,51.16960588,17.11320823
BARTOSZOWICE,51.1025481,17.11606706
Nowodworska,51.11385803,16.96471814
BLACHARSKA,51.08210113,16.98960253
KOZANÓW (Dokerska),51.14128356,16.96409541
Dyrekcyjna,51.09430136,17.03222909
Chińska,51.06042994,17.08323143
Semaforowa,51.06170301,17.07956093
Złotostocka,51.07714643,17.06030348
Kiełczów - Zgodna,51.13762207,17.18692866
Kiełczów - Wrocławska,51.1409341,17.17432029
Kiełczów - Mleczna,51.14020196,17.17808404
BIERUTOWSKA (Ośrodek zdrowia),51.151649,17.130749
Kwiatkowskiego (Rondo),51.07252597,16.95363941
Kiełczów - Boczna,51.13742822,17.18863976
Nowy Dwór (Stacja kolejowa),51.11991882,16.95264053
Kościelna,51.06286242,16.983409
Wzgórze Partyzantów,51.10378692,17.03849027
Magellana,51.11355453,17.12133497
Eluarda,51.146228,16.86740811
Zarembowicza,51.10790125,16.89935252
Skarżyńskiego,51.10920961,16.90416773
NOWY DWÓR (pętla),51.11949152,16.95177714
KAMIEŃSKIEGO (pętla),51.15069911,17.04307115
Inżynierska,51.09454012,16.99196391
Fieldorfa (Szpital),51.144146,16.906701
Janówek,51.198083,16.90589197
Kosmonautów (Szpital),51.14173546,16.90608263
Świętokrzyska,51.11729733,17.04418632
Rzemieślnicza,51.1714458,17.0047036
Stępin,51.20848301,17.28088818
Sosnowiecka,51.07045986,17.09154329
Grochowa,51.09621774,17.00580891
Pietrzykowice,51.12333402,17.23231705
Śliwice,51.12893684,17.21403113
Pasikurowice - n/ż,51.21588367,17.11747685
Przebiśniegowa,51.17252073,17.11334336
Trawowa,51.09705874,16.95051131
Rubczaka,51.14419429,16.86596484
Krucza,51.09215593,17.00848546
Zaprężyn,51.2519651,17.19294772
Witkowska,51.14840432,16.98892202
Husarska,51.06012872,17.00209835
Brzezina - Kościół,51.2023321,16.8327646
Wojanowska,51.153871,16.89341
Zamkowa,51.10758946,17.02995215
PETRUSEWICZA,51.092306,17.030741
Zagony,51.10087942,16.94224152
Strachowice General Aviation,51.10501115,16.8990643
Zaporoska,51.09653975,17.01452167
POŚWIĘTNE,51.15066735,17.02895604
Centrum Zarządzania Kryzysowego,51.11462919,16.97229761
RĘDZIŃSKA,51.15738767,16.94887637
BROCHÓW,51.058964,17.086479
PRACZE ODRZAŃSKIE,51.17470504,16.90660195
KOSZAROWA (Szpital),51.14166296,17.06477615
SOŁTYSOWICE,51.15517037,17.06442221
Pl. Hirszfelda,51.09382147,17.01795905
OPORÓW,51.08413312,16.97203013
MULICKA,51.14506,17.116839
Drukarska,51.08977428,17.02139075
Psary - Parkowa,51.18255283,17.04025444
Wołowska,51.14842308,17.03022762
Kamiennogórska (Ośrodek dla niewidomych),51.14249314,16.90073956
Małopolska (Ośrodek dla niewidomych),51.13745748,16.89888581
Kowalska 56,51.13647537,17.09740219
Opatowicka nr 59,51.0950859,17.115921
Muchobór Wielki (Roślinna),51.10176043,16.94397772
Odolanowska,51.16599,17.129552
Odrodzenia Polski,51.16407293,17.12582132
TYNIECKA (pętla),51.07596159,16.95289375
Tyniecka,51.07218,16.958427
Serbska (C.K. Agora),51.1338962,17.0196455
MOKRY DWÓR,51.071173,17.123951
TRESTNO (pętla),51.07577133,17.14536285
Starodworska,51.07381,17.108553
Skierniewicka,51.07765014,17.0144646
Jarzębinowa,51.08129657,17.01656596
IWINY - pętla,51.04231,17.072276
Wyścigowa,51.06970634,17.01205044
Iwiny - Kolejowa,51.04043197,17.07521438
Hippiczna,51.06794444,17.00885402
BLIZANOWICE,51.07011,17.157233
KOSZAROWA (Uniwersytet),51.14049516,17.06847989
Narodowe Forum Muzyki,51.107899,17.026294
Jarnołtowska (Samotworska),51.12008386,16.85024756
Samotworska,51.11824079,16.84750134
Biskupice Podgórne LG Innotek,51.01838302,16.88883209
Biskupice Podgórne LG Chem,51.015922,16.886978
Partynice,51.06154956,16.99764462
Bulwar Dedala,51.12678746,16.96299853
Sudecka,51.08566549,17.01660936
Psie Pole (Rondo Lotników Polskich),51.14714,17.114363
Psary - Szkoła,51.186705,17.031851
Krępice,51.153186,16.816681
Rondo Obrońców Grodna,51.16475786,17.02767914
Strachowskiego,51.0582375,17.01565182
Bzowa (Centrum Zajezdnia),51.09750864,16.99130994
Krucza (Mielecka),51.09341211,17.00376531
Godebskiego (AWF Wrocław),51.11377088,17.09846129
Kromera (Czajkowskiego),51.13557581,17.06907505
Wilkszyn (pętla),51.191886,16.862751
Ołtaszyn,51.05680038,17.02227718
Wilkszyn - Miłoszyn,51.1827212,16.8725008
GAŁÓW (pętla),51.11189,16.810629
Pisarzowice - Odrzańska,51.2052389,16.8525611
Pisarzowice - Graniczna,51.196823,16.8549944
Rymarska,51.07935,16.991641
Krasińskiego,51.10585896,17.04334082
Kurpiów,51.05488165,17.02661079
DWORZEC GŁÓWNY,51.09918778,17.03433441
Dworzec Główny (Stawowa),51.09941,17.033499
Słonimskiego,51.130614,17.045078
Zakładowa,51.12991454,17.03836452
Tymiankowa,51.17578884,16.99366911
Cynamonowa,51.17602669,16.9983034
Waniliowa,51.178347,16.999972
Gospodarska,51.11869211,17.12298363
Kutrzeby,51.05183322,17.01882927
Konduktorska,51.065565,17.055056
Armii Krajowej (Bogedaina),51.08534694,17.06528881
pl. Srebrny,51.098488,16.996146
Kadłubka,51.07622344,16.96886864
Stanki,51.07632585,16.97206692
Bukowskiego,51.076584,16.978213
DWORCOWA,51.10027773,17.03920149
Weigla (Szpital),51.07644893,17.01767649
Łozina - Nowego Osiedla II,51.23320247,17.16504378
Łozina - Nowego Osiedla I,51.2334363,17.17196466
Piecowice,51.144326,17.21777185
Mirków - Jagiellońska,51.16812908,17.16457479
Mirków - Sportowa,51.16365614,17.15710423
Szczodre - pętla,51.19448526,17.18273821
Długołęka - Parkowa/skrzy.,51.17951003,17.19039061
Długołęka - Kasztanowa,51.17769309,17.18807992
Długołęka - Wiejska,51.17477041,17.1772107
Wilczyce - Szkoła,51.12963391,17.15202804
Wilczyce - Borowa,51.13006617,17.15062076
Wilczyce - Dworska,51.12928849,17.15494185
Kiełczów - cmentarz,51.13711789,17.17723723
Kiełczów - Biedronka,51.14267753,17.16656505
Kiełczów - Ładna,51.14361725,17.16000643
Januszkowice - Wrocławska,51.22121378,17.23887904
Dobroszów Oleśnicki,51.21637076,17.22870806
Długołęka - SELGROS pętla,51.18310967,17.19859029
Kamień - Bursztynowa,51.16880359,17.21338331
Kamień - skrzy.,51.1668643,17.21933497
Raków II,51.16903423,17.27754755
Borowa - stacja kolejowa,51.18510826,17.27998281
Borowa - skrz.,51.1945381,17.2799901
Byków - Ogrodowa,51.19203898,17.24001113
Oleśniczka - skrzy.,51.14930245,17.28248046
Raków IV,51.15591487,17.27496993
Kiełczów - pętla (Plac Jana Pawła),51.13956498,17.17901502
Kiełczów - pętla/Wrocławska,51.13942098,17.18003443
Raków - skrzy.,51.16764355,17.27609786
Siedlec - Wrocławska/sklep,51.23108806,17.11584332
Siedlec - Wrocławska/szkoła,51.23025225,17.11484443
Pasikurowice - Energetyczna,51.21400199,17.10984551
Pasikurowice - skrzy. Malinowa,51.20953171,17.10393604
Pasikurowice - cmentarz,51.20432506,17.10098225
Ramiszów,51.1887837,17.10154452
Domaszczyn Kościół,51.18806857,17.1647516
Domaszczyn - skrzy.,51.1888967,17.15123848
Domaszczyn -Trzebnicka,51.19622836,17.15209165
Michałowice Skrzyżowanie,51.23604219,17.21988123
Łosice - plac zabaw,51.2166976,17.20389775
Łosice,51.21674117,17.20518001
Tokary - centrum,51.23312007,17.14049559
Bukowina - skrzy.,51.20487685,17.15322285
Krakowiany - skrzy.,51.26396505,17.19024275
Jaksonowice - skrzy.,51.24956309,17.24524399
Długołęka Urząd Gminy,51.1761828,17.20140973
Długołęka - Nowy Urząd,51.17362393,17.20243678
Kamień Diamentowa,51.167354,17.225249
Domaszczyn Wrocławska sklep,51.19004727,17.17085925
Brzezia Łąka - Wrocławska,51.12347136,17.24566591
Raków I,51.17007924,17.27768878
Byków - Jaśminowa,51.19231209,17.24742866
Wilczyce Wilczycka Stary Młyn,51.12286947,17.15491529
Wilczyce Wilczycka Clarena,51.11582994,17.17106983
Raków - osiedle,51.16682556,17.27031642
Raków III,51.15834663,17.27291054
Zaprężyn - skrzy.,51.25341439,17.20650553
Kępa - skrzy.,51.24100069,17.19553935
Godzieszowa (na wys. nr 8),51.23849713,17.12815367
Łozina - Wrocławska (na wys. nr 18),51.23001156,17.17257964
Łozina - kościół,51.23222324,17.17635536
Łozina - skrzy.,51.23243976,17.17529152
Łozina - Milicka/poczta,51.23335056,17.1776437
Łozina - Milicka/szkoła,51.23485211,17.18123834
Kiełczów - Sosnowa,51.14364876,17.15865851
Domaszczyn Stawowa,51.18892249,17.15046502
Pruszowice,51.18862528,17.13417885
Siedlec - stacja,51.23456424,17.12128629
Łozina Cmentarz,51.22845706,17.1805194
Brzezia Łąka - skrzy. Główna,51.12319596,17.26323708
Brzezia Łąka Główna,51.12254252,17.26496862
Kiełczów - WODROL,51.13513467,17.1758657
Pasikurowice - Wrocławska (na wys. nr 14),51.21540301,17.11109103
Siedlec - skrzy. Osiedlowa,51.23404976,17.12148102
Domaszczyn Wrocławska Skrzyżowanie,51.18787469,17.15324561
Jaksonowice (na wys. bud 27),51.24445935,17.24167971
Januszkowice - skrzy. Kępa,51.23272027,17.23653591
Kwiatkowskiego,51.05863952,16.95463943
Stępin - kościół,51.2134415,17.2855453
Robotnicza,51.10956766,17.00828923
Stanisławowska (W.K. Formaty),51.09683833,16.94684781
Działkowa,51.07775343,17.03382848
Perzowa,51.1772366,16.99088974
Maślicka (Osiedle),51.14749243,16.94773919
Zaolziańska,51.09776568,17.02568771
Rodła,51.12479493,16.86353106
Kominiarska (plac sportowy),51.17507239,17.01135744
Fieldorfa,51.14652868,16.90804212
GIEŁDOWA (Centrum Hurtu),51.0682,16.969337
Kajdasza,51.053804,17.05802
DW. ŚWIEBODZKI,51.10832,17.01702
Jasińskiej,51.1208448,16.87663945
Jerzmanowska nr 17,51.127417,16.901809
Jerzmanowska nr 9,51.12608266,16.90989177
rondo Św. Ojca Pio,51.05953185,17.00626127
Grota-Roweckiego,51.05064201,17.03040244
8 Maja,51.1135437,17.091098
Racławicka (szkoła),51.08468135,17.00695047
Gajowicka (szkoła),51.08460418,17.00381203
Stabłowicka,51.17034,16.901628
KARŁOWICE,51.13425317,17.03714799
Awicenny,51.08833411,16.95238558
ŚLAZOWA,51.15259932,16.99609657
KMINKOWA,51.179699,17.006034
ZWYCIĘSKA,51.05943,17.01098
Lawendowa,51.169722,17.000487
Godzieszowa - transformator,51.24156209,17.13097446
Brzezia Łąka Główna pętla,51.12172239,17.27217965
Hubska (Dawida),51.093049,17.042897
Os. Przyjaźni,51.06922281,16.99666027
Lutynia I,51.135712,16.771781
Lutynia - Kolonia,51.131753,16.75605
Radakowice - Świetlica,51.129126,16.743239
Łowęcice - Staw,51.121501,16.740467
Lutynia - Straż,51.134988,16.783095
Królewiecka (Staw),51.154467,16.924052
Borowska (Szpital),51.07472533,17.03254813
Milicka,51.152347,17.043469
LITEWSKA,51.14232537,17.127874
Leśnica - Hermes,51.14609505,16.86569237
Hallera,51.08681537,17.01291053
Bardzka,51.08277944,17.05080816
pl. Daniłowskiego,51.13852292,17.05908537
Chłodna,51.07498635,16.99683129
Kolumba,51.11410084,17.11707984
Sowia,51.07379262,17.00184494
ŻAR,51.150195,16.833785
Biskupice Podgórne LG Electronics,51.024387,16.890707
Maślice Małe (Brodnicka),51.15293057,16.94011137
Rędzińska (Cmentarz),51.14911173,16.94531084
Modlińska,51.0816957,17.000632
Królewiecka (Park),51.14821678,16.93077497
RACŁAWICKA,51.077395,16.983938
Wawrzyniaka,51.07658637,16.9968549
Wróblowice,51.158314,16.785521
Błonie,51.158725,16.74746
Źródła,51.159681,16.724852
