stop,lattitude,longitude,zip_code,district
Cynamonowa,51.17602669,16.998303399999998,50-001,Psie Pole
Waniliowa,51.178346999999995,16.999972,51-100,Psie Pole
Gospodarska,51.11869211,17.12298363,51-503,Psie Pole
Kutrzeby,51.05183322,17.01882927,52-213,Krzyki
Konduktorska,51.065565,17.055056,52-131,Krzyki
Armii Krajowej (Bogedaina),51.08534694,17.06528881,53-126,Krzyki
pl. Srebrny,51.098488,16.996146,53-439,Fabryczna
Kadłubka,51.07622344,16.96886864,52-424,Fabryczna
Stanki,51.07632585,16.97206692,52-424,Fabryczna
Bukowskiego,51.076584000000004,16.978213,52-424,Fabryczna
DWORCOWA,51.10027773,17.03920149,50-456,Stare Miasto
Weigla (Szpital),51.07644893,17.01767649,53-110,Krzyki
Łozina - Nowego Osiedla II,51.23320247,17.16504378,55-095,Łozina
Łozina - Nowego Osiedla I,51.233436299999994,17.17196466,55-095,Łozina
Piecowice,51.144326,17.21777185,55-093,Piecowice
Mirków - Jagiellońska,51.16812908,17.16457479,55-095,Mirków
Mirków - Sportowa,51.16365614,17.15710423,55-095,Mirków
Szczodre - pętla,51.19448526,17.18273821,55-095,Szczodre
Długołęka - Parkowa/skrzy.,51.17951003,17.19039061,55-095,Długołęka
Długołęka - Kasztanowa,51.17769309,17.18807992,55-095,Długołęka
Długołęka - Wiejska,51.17477041,17.1772107,55-095,Długołęka
Wilczyce - Szkoła,51.12963391,17.15202804,51-361,Wilczyce
Wilczyce - Borowa,51.13006617,17.15062076,51-361,Wilczyce
Wilczyce - Dworska,51.12928849,17.15494185,51-361,Wilczyce
Kiełczów - cmentarz,51.13711789,17.17723723,55-093,Kiełczów
Kiełczów - Biedronka,51.14267753,17.16656505,55-093,Kiełczów
Kiełczów - Ładna,51.14361725,17.16000643,55-093,Kiełczów
Januszkowice - Wrocławska,51.22121378,17.23887904,55-095,Januszkowice
Dobroszów Oleśnicki,51.21637076,17.22870806,55-095,Dobroszów Oleśnicki
Długołęka - SELGROS pętla,51.18310967,17.19859029,55-095,Długołęka
Kamień - Bursztynowa,51.16880359,17.21338331,55-095,Kamień
Kamień - skrzy.,51.1668643,17.21933497,55-095,Kamień
Raków II,51.16903423,17.27754755,55-093,Raków
Borowa - stacja kolejowa,51.18510826,17.27998281,55-093,Borowa
Borowa - skrz.,51.1945381,17.279990100000003,55-093,Borowa
Byków - Ogrodowa,51.19203898,17.24001113,55-095,Byków
Oleśniczka - skrzy.,51.14930245,17.28248046,55-093,Oleśniczka
Raków IV,51.15591487,17.27496993,55-093,Mydlice
Kiełczów - pętla (Plac Jana Pawła),51.13956498,17.17901502,55-093,Kiełczów
Kiełczów - pętla/Wrocławska,51.13942098,17.18003443,55-093,Kiełczów
Raków - skrzy.,51.16764355,17.27609786,55-093,Raków
Siedlec - Wrocławska/sklep,51.23108806,17.11584332,55-095,Siedlec
Siedlec - Wrocławska/szkoła,51.23025225,17.11484443,55-095,Siedlec
Pasikurowice - Energetyczna,51.21400199,17.10984551,55-095,Pasikurowice
Pasikurowice - skrzy. Malinowa,51.20953171,17.10393604,55-095,Pasikurowice
Pasikurowice - cmentarz,51.20432506,17.10098225,55-095,Pasikurowice
Ramiszów,51.18878370000001,17.10154452,55-095,Ramiszów
Domaszczyn Kościół,51.18806857,17.1647516,55-095,Domaszczyn
Domaszczyn - skrzy.,51.1888967,17.15123848,55-095,Domaszczyn
Domaszczyn -Trzebnicka,51.19622836,17.15209165,55-095,Domaszczyn
Michałowice Skrzyżowanie,51.23604219,17.21988123,55-095,Kępa
Łosice - plac zabaw,51.2166976,17.20389775,55-095,Łosice
Łosice,51.21674117,17.20518001,55-095,Łosice
Tokary - centrum,51.23312007,17.14049559,55-095,Tokary
Bukowina - skrzy.,51.20487685,17.15322285,55-095,Domaszczyn
Krakowiany - skrzy.,51.26396505,17.19024275,55-095,Krakowiany
Jaksonowice - skrzy.,51.24956309,17.24524399,55-095,Jaksonowice
Długołęka Urząd Gminy,51.1761828,17.20140973,55-095,Długołęka
Długołęka - Nowy Urząd,51.17362393,17.20243678,55-095,Długołęka
Kamień Diamentowa,51.167353999999996,17.225248999999998,55-095,Kamień
Domaszczyn Wrocławska sklep,51.19004727,17.17085925,55-095,Domaszczyn
Brzezia Łąka - Wrocławska,51.12347136,17.24566591,55-093,Brzezia Łąka
Raków I,51.17007924,17.27768878,55-093,Raków
Byków - Jaśminowa,51.19231209,17.24742866,55-095,Byków
Wilczyce Wilczycka Stary Młyn,51.12286947,17.15491529,51-361,Wilczyce
Wilczyce Wilczycka Clarena,51.11582994,17.17106983,51-361,Wilczyce
Raków - osiedle,51.16682556,17.27031642,55-093,Raków
Raków III,51.15834663,17.27291054,55-093,Mydlice
Zaprężyn - skrzy.,51.25341439,17.20650553,55-095,
Kępa - skrzy.,51.24100069,17.19553935,55-095,
Godzieszowa (na wys. nr 8),51.23849713,17.12815367,55-095,Godzieszowa
Łozina - Wrocławska (na wys. nr 18),51.23001156,17.17257964,55-095,Łozina
Łozina - kościół,51.23222324,17.17635536,55-095,Łozina
Łozina - skrzy.,51.23243976,17.17529152,55-095,Łozina
Łozina - Milicka/poczta,51.23335056,17.1776437,55-095,Łozina
Łozina - Milicka/szkoła,51.23485211,17.18123834,55-095,
Kiełczów - Sosnowa,51.14364876,17.15865851,55-093,Kiełczów
Domaszczyn Stawowa,51.18892249,17.15046502,55-095,Domaszczyn
Pruszowice,51.18862528,17.13417885,51-217,Pruszowice
Siedlec - stacja,51.23456424,17.12128629,55-095,Siedlec
Łozina Cmentarz,51.22845706,17.180519399999998,55-095,Łozina
Brzezia Łąka - skrzy. Główna,51.12319596,17.26323708,55-093,Brzezia Łąka
Brzezia Łąka Główna,51.12254252,17.26496862,55-093,Brzezia Łąka
Kiełczów - WODROL,51.13513467,17.1758657,55-093,Kiełczów
Pasikurowice - Wrocławska (na wys. nr 14),51.21540301,17.11109103,55-095,Wrocław
Siedlec - skrzy. Osiedlowa,51.23404976,17.12148102,55-095,Siedlec
Domaszczyn Wrocławska Skrzyżowanie,51.18787469,17.15324561,55-095,Domaszczyn
Jaksonowice (na wys. bud 27),51.24445935,17.24167971,55-095,Jaksonowice
Januszkowice - skrzy. Kępa,51.23272027,17.23653591,55-095,
Kwiatkowskiego,51.05863952,16.95463943,52-327,Wrocław
Stępin - kościół,51.213441499999995,17.285545300000003,55-093,Stępin
Robotnicza,51.10956766,17.00828923,53-607,Stare Miasto
Stanisławowska (W.K. Formaty),51.09683833,16.94684781,54-611,Fabryczna
Działkowa,51.07775343,17.03382848,50-559,Krzyki
Perzowa,51.1772366,16.99088974,51-180,Psie Pole
Maślicka (Osiedle),51.14749243,16.94773919,54-107,Fabryczna
Zaolziańska,51.09776568,17.02568771,53-333,Krzyki
Rodła,51.12479493,16.86353106,54-530,Fabryczna
Kominiarska (plac sportowy),51.17507239,17.01135744,51-180,Psie Pole
Fieldorfa,51.14652868,16.90804212,54-049,Fabryczna
GIEŁDOWA (Centrum Hurtu),51.0682,16.969337,52-437,Fabryczna
Kajdasza,51.053804,17.058020000000003,52-129,Krzyki
DW. ŚWIEBODZKI,51.10832,17.017020000000002,53-607,Stare Miasto
Jasińskiej,51.1208448,16.87663945,54-519,Fabryczna
Jerzmanowska nr 17,51.127417,16.901809,54-519,Fabryczna
Jerzmanowska nr 9,51.12608266,16.90989177,54-530,Fabryczna
rondo Św. Ojca Pio,51.05953185,17.00626127,52-007,Krzyki
Grota-Roweckiego,51.05064201,17.03040244,52-214,Krzyki
8 Maja,51.1135437,17.091098000000002,51-620,Śródmieście
Racławicka (szkoła),51.08468135,17.00695047,53-148,Krzyki
Gajowicka (szkoła),51.08460418,17.00381203,53-150,Fabryczna
Stabłowicka,51.17034,16.901628,54-066,Fabryczna
KARŁOWICE,51.13425317,17.03714799,51-119,Psie Pole
Awicenny,51.08833411,16.95238558,50-900,Fabryczna
ŚLAZOWA,51.15259932,16.99609657,50,Psie Pole
KMINKOWA,51.179699,17.006034,51-180,Psie Pole
ZWYCIĘSKA,51.05943,17.01098,53-033,Krzyki
Lawendowa,51.169722,17.000487,51-180,Psie Pole
Godzieszowa - transformator,51.24156209,17.13097446,55-095,Godzieszowa
Brzezia Łąka Główna pętla,51.12172239,17.27217965,55-093,Kątna
Hubska (Dawida),51.093049,17.042897,50-505,Krzyki
Os. Przyjaźni,51.06922281,16.99666027,53-019,Krzyki
Lutynia I,51.135712,16.771781,55-330,Lutynia
Lutynia - Kolonia,51.131753,16.75605,55-330,
Radakowice - Świetlica,51.129126,16.743239000000003,55-330,Radakowice
Łowęcice - Staw,51.121501,16.740467000000002,55-330,Łowęcice
Lutynia - Straż,51.134988,16.783095,55-330,Lutynia
Królewiecka (Staw),51.154467,16.924052,54-117,Fabryczna
Borowska (Szpital),51.07472533,17.03254813,50-551,Krzyki
Milicka,51.152347,17.043469,51-124,Psie Pole
LITEWSKA,51.14232537,17.127874,51-354,Psie Pole
Leśnica - Hermes,51.14609505,16.86569237,54-017,Fabryczna
Hallera,51.08681537,17.01291053,53-138,Krzyki
Bardzka,51.08277944,17.05080816,53-041,Krzyki
pl. Daniłowskiego,51.13852292,17.05908537,51-146,Psie Pole
Chłodna,51.07498635,16.99683129,53-000,Krzyki
Kolumba,51.11410084,17.11707984,51-501,Psie Pole
Sowia,51.07379262,17.00184494,53-024,Krzyki
ŻAR,51.150195000000004,16.833785,54-010,Fabryczna
Biskupice Podgórne LG Electronics,51.024387,16.890707,55-040,
Maślice Małe (Brodnicka),51.15293057,16.94011137,54-104,Fabryczna
Rędzińska (Cmentarz),51.14911173,16.94531084,54-106,Fabryczna
Modlińska,51.081695700000004,17.000632,53-146,Krzyki
Królewiecka (Park),51.14821678,16.93077497,54-109,Fabryczna
RACŁAWICKA,51.077395,16.983938000000002,53-329,Fabryczna
Wawrzyniaka,51.07658637,16.9968549,53-025,Krzyki
Wróblowice,51.158314000000004,16.785521,55-330,Wróblowice
Błonie,51.158725,16.74746,55-330,Błonie
Źródła,51.159681,16.724852,55-330,Źródła
Żurawiniec,51.176194,16.811808,55-330,Żurawiniec
Lubiatów,51.225539000000005,16.695853,55-330,Lubiatów
Zabór Mały,51.219213,16.703243,55-330,Lubiatów
Zabór Wielki,51.21228,16.729401,55-330,Zabór Wielki
Gąsiorów,51.24255187,16.7406247,55-330,Głoska
Morelowskiego,51.06968052,16.96895221,52-437,Fabryczna
Białków,51.21510479,16.76535882,55-330,Białków
Klęka,51.20861669,16.749964600000002,55-330,Miękinia
Miękinia - Urząd Gminy,51.19386776,16.73806496,55-330,Miękinia
Miękinia - stacja PKP,51.18825506,16.7356126,55-330,Miękinia
Miękinia Cegielnia,51.188315,16.724634,55-330,Miękinia
Kadłub NŻ,51.182951,16.704586,55-330,
Kadłub wieś,51.17441596,16.69663098,55-330,Kadłub
Brzezinka Średzka - PKP,51.219516,16.836333,55-330,
Wrocławski Park Przemysłowy,51.11256668,16.99423154,52-007,Fabryczna
Krępice - Wrocławska,51.163011,16.810795000000002,55-330,Krępice
Wojnowice - Główna,51.201404,16.795842999999998,55-330,Wojnowice
Czerna,51.225238,16.799962,55-330,Czerna
Wilkostów,51.216012,16.805365,55-330,Wilkostów
Księginice - skrzyż. Warzyna,51.24347312,16.76557357,55-330,Księginice
Księginice P&R,51.242357399999996,16.762288,55-330,Księginice
Miękinia - pętla,51.193844,16.739568,55-330,Miękinia
Brzezia Łąka-skrzy.Orzechowa,51.123558,17.255425,55-093,Brzezia Łąka
Brzezia Łąka-skrzy.Sportowa,51.123613,17.255523999999998,55-093,Brzezia Łąka
Mrozów - Świetlica,51.18563329,16.79068277,55-330,Mrozów
Mrozów - Wyzwolenia,51.188202000000004,16.786337,55-330,Mrozów
Kolbuszowska (Stadion),51.09402385,16.99728754,53-405,Fabryczna
Piołunowa,51.122669,16.87983,54-530,Fabryczna
Kaczorowskiego,51.12626516,16.87994153,54-530,Fabryczna
Osiniecka,51.121863,16.891437,54-530,Fabryczna
Kolejowa,51.103125,17.016701,53-508,Stare Miasto
Jerzmanowo (Cmentarz II),51.12319263,16.88278896,54-530,Fabryczna
Jerzmanowo (Cmentarz I),51.12362299,16.88379955,54-530,Fabryczna
Jerzmanowo (Cmentarz),51.12526194,16.88793033,54-530,Fabryczna
